开始节点,开始节点类型,关系,结束节点,结束节点类型,文本
通风橱,环境影响报告表公示本,带,屏蔽,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
储源柜,环境影响报告表公示本,设置,双人双锁,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
辐射源,环境影响报告表公示本,登记,贮存,环境影响报告表公示本,贮存、领取、使用、归还辐射源时，应当进行登记、检查，做到账物相符。
辐射源,环境影响报告表公示本,登记,领取,环境影响报告表公示本,贮存、领取、使用、归还辐射源时，应当进行登记、检查，做到账物相符。
辐射源,环境影响报告表公示本,登记,使用,环境影响报告表公示本,贮存、领取、使用、归还辐射源时，应当进行登记、检查，做到账物相符。
辐射源,环境影响报告表公示本,登记,归还,环境影响报告表公示本,贮存、领取、使用、归还辐射源时，应当进行登记、检查，做到账物相符。
废物铅桶,环境影响报告表公示本,放置,专用塑料袋,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
放射性废物,环境影响报告表公示本,限制,表面剂量率,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
放射性废物,环境影响报告表公示本,限制,表面污染,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
放射性废物,环境影响报告表公示本,限制,质量,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
核医学中心,环境影响报告表公示本,安装,固定式剂量率报警仪,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
分装室,环境影响报告表公示本,安装,固定式剂量率报警仪,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
控制室,环境影响报告表公示本,安装,固定式剂量率报警仪,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
源库,环境影响报告表公示本,安装,固定式剂量率报警仪,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
放射性废物暂存间,环境影响报告表公示本,安装,固定式剂量率报警仪,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
一层显像诊断区,环境影响报告表公示本,安装,固定式剂量率报警仪,环境影响报告表公示本,并对辐射源定期进行盘存，确保其处于指定位置，具有可靠的安全保障；废物铅桶：将设置废物铅桶，其内将放置专用塑料袋直接收纳废物，将确保放射性废物包装体的表面剂量率应不超过 0.1mSv/h，α表面污染小于 0.4Bq/cm2，β表面污染水平＜0.4Bq/cm2，质量不超过 20kg；52固定式 X-γ剂量率报警仪：拟在核医学中心内各患者走道、分装室、控制室、源库、放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安
二层核素治疗病房,环境影响报告表公示本,安装,固定式剂量率报警仪,环境影响报告表公示本,放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安装5个，二层甲亢治疗区安装 6个；便携式监测仪器：核医学中心拟配备表面沾污监测仪（每个非密封放射性物质工作场所各 1 个，共 3 台）、X-γ辐射剂量率监测仪 1 台；所有辐射工作人员要求配备个人剂量计和个人剂量报警仪（拟各配置 16个），个人剂量计定期送检。
二层甲亢治疗区,环境影响报告表公示本,安装,固定式剂量率报警仪,环境影响报告表公示本,放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安装5个，二层甲亢治疗区安装 6个；便携式监测仪器：核医学中心拟配备表面沾污监测仪（每个非密封放射性物质工作场所各 1 个，共 3 台）、X-γ辐射剂量率监测仪 1 台；所有辐射工作人员要求配备个人剂量计和个人剂量报警仪（拟各配置 16个），个人剂量计定期送检。
非密封放射性物质工作场所,环境影响报告表公示本,配备,表面沾污监测仪,环境影响报告表公示本,放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安装5个，二层甲亢治疗区安装 6个；便携式监测仪器：核医学中心拟配备表面沾污监测仪（每个非密封放射性物质工作场所各 1 个，共 3 台）、X-γ辐射剂量率监测仪 1 台；所有辐射工作人员要求配备个人剂量计和个人剂量报警仪（拟各配置 16个），个人剂量计定期送检。
核医学中心,环境影响报告表公示本,配备,辐射剂量率监测仪,环境影响报告表公示本,放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安装5个，二层甲亢治疗区安装 6个；便携式监测仪器：核医学中心拟配备表面沾污监测仪（每个非密封放射性物质工作场所各 1 个，共 3 台）、X-γ辐射剂量率监测仪 1 台；所有辐射工作人员要求配备个人剂量计和个人剂量报警仪（拟各配置 16个），个人剂量计定期送检。
辐射工作人员,环境影响报告表公示本,配备,个人剂量计,环境影响报告表公示本,放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安装5个，二层甲亢治疗区安装 6个；便携式监测仪器：核医学中心拟配备表面沾污监测仪（每个非密封放射性物质工作场所各 1 个，共 3 台）、X-γ辐射剂量率监测仪 1 台；所有辐射工作人员要求配备个人剂量计和个人剂量报警仪（拟各配置 16个），个人剂量计定期送检。
辐射工作人员,环境影响报告表公示本,配备,个人剂量报警仪,环境影响报告表公示本,放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安装5个，二层甲亢治疗区安装 6个；便携式监测仪器：核医学中心拟配备表面沾污监测仪（每个非密封放射性物质工作场所各 1 个，共 3 台）、X-γ辐射剂量率监测仪 1 台；所有辐射工作人员要求配备个人剂量计和个人剂量报警仪（拟各配置 16个），个人剂量计定期送检。
储源室,环境影响报告表公示本,设置,药物储存罐,环境影响报告表公示本,防盗装置：储源室内拟设专门贮存放射性物质的药物储存罐和保险柜，定期进行辐射水平监测，不允许无关人员入内。
储源室,环境影响报告表公示本,设置,保险柜,环境影响报告表公示本,防盗装置：储源室内拟设专门贮存放射性物质的药物储存罐和保险柜，定期进行辐射水平监测，不允许无关人员入内。
敷贴治疗室,环境影响报告表公示本,配备,保险柜,环境影响报告表公示本,另为敷贴治疗室的放射源配备贮存保险柜；门禁系统：辐射工作场所所有控制区出入口拟设置单向门禁系统，入口只进不出，出口只出不进，禁止无关人员进入；视频监控和对讲装置：核医学中心控制区内安装视频监控及对讲装置，视频监控及对讲装置对患者进行叫号管理，减少患者对周围人员交叉辐射影响；工作状态指示灯：本项目 SPECT/CT、PET/CT室外防护门上方将设置工作状态指示灯，灯箱上设置“射线有害、灯亮勿入”或相关的警示语句，工作状态指示灯与防护门设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/
辐射工作场所控制区出入口,环境影响报告表公示本,设置,单向门禁系统,环境影响报告表公示本,另为敷贴治疗室的放射源配备贮存保险柜；门禁系统：辐射工作场所所有控制区出入口拟设置单向门禁系统，入口只进不出，出口只出不进，禁止无关人员进入；视频监控和对讲装置：核医学中心控制区内安装视频监控及对讲装置，视频监控及对讲装置对患者进行叫号管理，减少患者对周围人员交叉辐射影响；工作状态指示灯：本项目 SPECT/CT、PET/CT室外防护门上方将设置工作状态指示灯，灯箱上设置“射线有害、灯亮勿入”或相关的警示语句，工作状态指示灯与防护门设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/
核医学中心控制区,环境影响报告表公示本,安装,视频监控及对讲装置,环境影响报告表公示本,另为敷贴治疗室的放射源配备贮存保险柜；门禁系统：辐射工作场所所有控制区出入口拟设置单向门禁系统，入口只进不出，出口只出不进，禁止无关人员进入；视频监控和对讲装置：核医学中心控制区内安装视频监控及对讲装置，视频监控及对讲装置对患者进行叫号管理，减少患者对周围人员交叉辐射影响；工作状态指示灯：本项目 SPECT/CT、PET/CT室外防护门上方将设置工作状态指示灯，灯箱上设置“射线有害、灯亮勿入”或相关的警示语句，工作状态指示灯与防护门设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/
室外防护门,环境影响报告表公示本,设置,工作状态指示灯,环境影响报告表公示本,另为敷贴治疗室的放射源配备贮存保险柜；门禁系统：辐射工作场所所有控制区出入口拟设置单向门禁系统，入口只进不出，出口只出不进，禁止无关人员进入；视频监控和对讲装置：核医学中心控制区内安装视频监控及对讲装置，视频监控及对讲装置对患者进行叫号管理，减少患者对周围人员交叉辐射影响；工作状态指示灯：本项目 SPECT/CT、PET/CT室外防护门上方将设置工作状态指示灯，灯箱上设置“射线有害、灯亮勿入”或相关的警示语句，工作状态指示灯与防护门设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/
工作状态指示灯,环境影响报告表公示本,门灯联锁,防护门,环境影响报告表公示本,另为敷贴治疗室的放射源配备贮存保险柜；门禁系统：辐射工作场所所有控制区出入口拟设置单向门禁系统，入口只进不出，出口只出不进，禁止无关人员进入；视频监控和对讲装置：核医学中心控制区内安装视频监控及对讲装置，视频监控及对讲装置对患者进行叫号管理，减少患者对周围人员交叉辐射影响；工作状态指示灯：本项目 SPECT/CT、PET/CT室外防护门上方将设置工作状态指示灯，灯箱上设置“射线有害、灯亮勿入”或相关的警示语句，工作状态指示灯与防护门设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/
平开机房门,环境影响报告表公示本,设置,门机联锁,环境影响报告表公示本,另为敷贴治疗室的放射源配备贮存保险柜；门禁系统：辐射工作场所所有控制区出入口拟设置单向门禁系统，入口只进不出，出口只出不进，禁止无关人员进入；视频监控和对讲装置：核医学中心控制区内安装视频监控及对讲装置，视频监控及对讲装置对患者进行叫号管理，减少患者对周围人员交叉辐射影响；工作状态指示灯：本项目 SPECT/CT、PET/CT室外防护门上方将设置工作状态指示灯，灯箱上设置“射线有害、灯亮勿入”或相关的警示语句，工作状态指示灯与防护门设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/
储源室,环境影响报告表公示本,禁止进入,无关人员,环境影响报告表公示本,防盗装置：储源室内拟设专门贮存放射性物质的药物储存罐和保险柜，定期进行辐射水平监测，不允许无关人员入内。
辐射工作人员,环境影响报告表公示本,定期送检,个人剂量计,环境影响报告表公示本,放射性废物暂存间内安装固定式 X-γ剂量率报警仪，其中一层显像诊断区共安装 8个，二层核素治疗病房安装5个，二层甲亢治疗区安装 6个；便携式监测仪器：核医学中心拟配备表面沾污监测仪（每个非密封放射性物质工作场所各 1 个，共 3 台）、X-γ辐射剂量率监测仪 1 台；所有辐射工作人员要求配备个人剂量计和个人剂量报警仪（拟各配置 16个），个人剂量计定期送检。
储源室,环境影响报告表公示本,定期进行,辐射水平监测,环境影响报告表公示本,防盗装置：储源室内拟设专门贮存放射性物质的药物储存罐和保险柜，定期进行辐射水平监测，不允许无关人员入内。
视频监控及对讲装置,环境影响报告表公示本,叫号管理,患者,环境影响报告表公示本,另为敷贴治疗室的放射源配备贮存保险柜；门禁系统：辐射工作场所所有控制区出入口拟设置单向门禁系统，入口只进不出，出口只出不进，禁止无关人员进入；视频监控和对讲装置：核医学中心控制区内安装视频监控及对讲装置，视频监控及对讲装置对患者进行叫号管理，减少患者对周围人员交叉辐射影响；工作状态指示灯：本项目 SPECT/CT、PET/CT室外防护门上方将设置工作状态指示灯，灯箱上设置“射线有害、灯亮勿入”或相关的警示语句，工作状态指示灯与防护门设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/
工作状态指示灯,环境影响报告表公示本,设置,警示语句,环境影响报告表公示本,另为敷贴治疗室的放射源配备贮存保险柜；门禁系统：辐射工作场所所有控制区出入口拟设置单向门禁系统，入口只进不出，出口只出不进，禁止无关人员进入；视频监控和对讲装置：核医学中心控制区内安装视频监控及对讲装置，视频监控及对讲装置对患者进行叫号管理，减少患者对周围人员交叉辐射影响；工作状态指示灯：本项目 SPECT/CT、PET/CT室外防护门上方将设置工作状态指示灯，灯箱上设置“射线有害、灯亮勿入”或相关的警示语句，工作状态指示灯与防护门设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/
门灯联锁,环境影响报告表公示本,布置位置,附图,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
门机联锁,环境影响报告表公示本,设置位置,平开机房,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
门机联锁,环境影响报告表公示本,设置位置,控制室门,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
核素治疗区,环境影响报告表公示本,配备,测量体内活度的设备,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
